region,year,variable,unit,value
USA,2060,population,thous pers,389941.0
USA,2060,savings-rate,rate annual,0.171626
USA,2060,fac-share-labor,share,0.610239
USA,2060,fac-share-capital,share,0.189342
USA,2060,fac-share-energy,share,0.200419
USA,2060,energy-service,million 1990$,3414480.0
USA,2060,total-factor-productivity,million 1990$,1.5143
USA,2065,GDP,million 1990$,22959900.0
USA,2065,energy-investment,million 1990$,311680.0
USA,2065,consumer-durable,million 1990$,515665.0
USA,2065,value-added,million 1990$,18350600.0
USA,2065,gross-output,million 1990$,22965500.0
USA,2065,savings,million 1990$,4432000.0
USA,2065,investment,million 1990$,4432000.0
USA,2065,capital-stock,million 1990$,61051200.0
USA,2065,depreciation,million 1990$,2877270.0
USA,2065,energy-service-value,million 1990$,4614940.0
USA,2065,energy-net-export,million 1990$,-5631.42
USA,2065,materials-net-export,million 1990$,5631.42
USA,2065,capital-net-export,million 1990$,0.0
USA,2065,labor-wages,million 1990$,14057400.0
USA,2065,gdp-per-capita,thous 1990$ percap,58.1588
USA,2065,gdp-per-capita-ppp,thous 1990$ percap,55.0502
USA,2065,labor-force,thous pers,163491.0
USA,2065,population,thous pers,394779.0
USA,2065,savings-rate,rate annual,0.170099
USA,2065,fac-share-labor,share,0.61211
USA,2065,fac-share-capital,share,0.186939
USA,2065,fac-share-energy,share,0.200951
USA,2065,energy-service,million 1990$,3487880.0
USA,2065,total-factor-productivity,million 1990$,1.56946
USA,2070,GDP,million 1990$,24112600.0
USA,2070,energy-investment,million 1990$,332915.0
USA,2070,consumer-durable,million 1990$,524914.0
USA,2070,value-added,million 1990$,19246700.0
USA,2070,gross-output,million 1990$,24112500.0
USA,2070,savings,million 1990$,4633840.0
USA,2070,investment,million 1990$,4633840.0
USA,2070,capital-stock,million 1990$,64520900.0
USA,2070,depreciation,million 1990$,3039920.0
USA,2070,energy-service-value,million 1990$,4865820.0
USA,2070,energy-net-export,million 1990$,104.504
USA,2070,materials-net-export,million 1990$,-104.504
USA,2070,capital-net-export,million 1990$,0.0
USA,2070,labor-wages,million 1990$,14805900.0
USA,2070,gdp-per-capita,thous 1990$ percap,60.3668
USA,2070,gdp-per-capita-ppp,thous 1990$ percap,57.1402
USA,2070,labor-force,thous pers,162687.0
USA,2070,population,thous pers,399435.0
USA,2070,savings-rate,rate annual,0.168365
USA,2070,fac-share-labor,share,0.614034
USA,2070,fac-share-capital,share,0.18417
USA,2070,fac-share-energy,share,0.201797
USA,2070,energy-service,million 1990$,3556850.0
USA,2070,total-factor-productivity,million 1990$,1.62953
USA,2075,GDP,million 1990$,25244000.0
USA,2075,energy-investment,million 1990$,343067.0
USA,2075,consumer-durable,million 1990$,525384.0
USA,2075,value-added,million 1990$,20118700.0
USA,2075,gross-output,million 1990$,25241900.0
USA,2075,savings,million 1990$,4824680.0
USA,2075,investment,million 1990$,4824680.0
USA,2075,capital-stock,million 1990$,67934400.0
USA,2075,depreciation,million 1990$,3212690.0
USA,2075,energy-service-value,million 1990$,5123140.0
USA,2075,energy-net-export,million 1990$,2111.77
USA,2075,materials-net-export,million 1990$,-2111.77
USA,2075,capital-net-export,million 1990$,0.0
USA,2075,labor-wages,million 1990$,15544000.0
USA,2075,gdp-per-capita,thous 1990$ percap,62.5561
USA,2075,gdp-per-capita-ppp,thous 1990$ percap,59.2124
USA,2075,labor-force,thous pers,160816.0
USA,2075,population,thous pers,403542.0
USA,2075,savings-rate,rate annual,0.166573
USA,2075,fac-share-labor,share,0.615802
USA,2075,fac-share-capital,share,0.181236
USA,2075,fac-share-energy,share,0.202962
USA,2075,energy-service,million 1990$,3619030.0
USA,2075,total-factor-productivity,million 1990$,1.69597
USA,2080,GDP,million 1990$,26348400.0
USA,2080,energy-investment,million 1990$,367695.0
USA,2080,consumer-durable,million 1990$,535166.0
USA,2080,value-added,million 1990$,20974800.0
USA,2080,gross-output,million 1990$,26345100.0
USA,2080,savings,million 1990$,5005810.0
USA,2080,investment,million 1990$,5005810.0
USA,2080,capital-stock,million 1990$,71350400.0
USA,2080,depreciation,million 1990$,3382660.0
USA,2080,energy-service-value,million 1990$,5370320.0
USA,2080,energy-net-export,million 1990$,3368.95
USA,2080,materials-net-export,million 1990$,-3368.95
USA,2080,capital-net-export,million 1990$,0.0
USA,2080,labor-wages,million 1990$,16270000.0
USA,2080,gdp-per-capita,thous 1990$ percap,64.8059
USA,2080,gdp-per-capita-ppp,thous 1990$ percap,61.342
USA,2080,labor-force,thous pers,159268.0
USA,2080,population,thous pers,406575.0
USA,2080,savings-rate,rate annual,0.16493
USA,2080,fac-share-labor,share,0.617573
USA,2080,fac-share-capital,share,0.178582
USA,2080,fac-share-energy,share,0.203845
USA,2080,energy-service,million 1990$,3671850.0
USA,2080,total-factor-productivity,million 1990$,1.75984
USA,2085,GDP,million 1990$,27428600.0
USA,2085,energy-investment,million 1990$,354292.0
USA,2085,consumer-durable,million 1990$,537635.0
USA,2085,value-added,million 1990$,21818200.0
USA,2085,gross-output,million 1990$,27425000.0
USA,2085,savings,million 1990$,5181530.0
USA,2085,investment,million 1990$,5181530.0
USA,2085,capital-stock,million 1990$,74636100.0
USA,2085,depreciation,million 1990$,3552750.0
USA,2085,energy-service-value,million 1990$,5606870.0
USA,2085,energy-net-export,million 1990$,3611.34
USA,2085,materials-net-export,million 1990$,-3611.34
USA,2085,capital-net-export,million 1990$,0.0
USA,2085,labor-wages,million 1990$,16984100.0
