Model,Scenario,Region,Variable,Unit,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Emissions|CO2|AFOLU,Mt CO2/yr,-493.26226235,-217.090281283334,-437.38327358,-265.106356119,-200.145723268334,69.9299416053333,11.103286634,-40.3088337006667,-52.1846626583333,-78.4894534673334
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,2811.76551051733,3053.95271925205,3199.3357944559,3204.0439539724,3057.895589235671,2818.59748064766,2603.175333154,2256.67699305766,1975.72394802566,1707.188870343
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,900.233223083334,1114.77633380667,1166.68311261333,1122.25575025667,1024.19334743,865.06660834,763.002067336667,574.067279096667,461.4164897466661,359.6204216
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy,EJ/yr,34.98710206,36.504108186,37.939097009,38.480352309,37.492453826,36.065459136,34.359092382,32.098245575,29.708232816,27.388624081
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Electricity,EJ/yr,5.069809919,6.787658615,7.838706753999999,8.692252059,9.242375509,9.521963906,9.748899315,9.707129128,9.576362471,9.269672448
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Gases,EJ/yr,8.808095083,9.108086414,9.628606852,9.706987382,9.218628289,8.567750689,7.8080634579999995,6.991636495,6.223541642000001,5.595959871
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Heat,EJ/yr,6.5932709,6.113238799999999,5.8224605,5.3690166999999995,4.76032477,4.15008552,3.53922086,2.95766117,2.40614351,1.94180946
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Hydrogen,EJ/yr,0.0,0.017803751,0.046036682,0.08081529500000001,0.11804174,0.137466563,0.153211798,0.161410474,0.164042256,0.158928279
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Industry,EJ/yr,18.223892538,18.484345042,18.552961795,18.286781077,17.670743514,16.907510041000002,16.050344021,15.026844901,13.965085556,12.916724955
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Liquids,EJ/yr,9.67148797,10.184729414,10.771061226,11.148007581,11.017835611,10.890941984,10.665484654,10.196035473,9.618027613,9.015331782
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Solids,EJ/yr,4.844438188,4.292591192,3.832224995,3.483273292,3.1352479069999992,2.797250474,2.444212297,2.084372835,1.720115324,1.406922241
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Solids|Biomass,EJ/yr,0.9774730180000001,0.9584622220000001,0.870993475,0.7926352120000001,0.726729437,0.636886759,0.56587942,0.493096635,0.418558551,0.35009811700000004
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Solids|Coal,EJ/yr,3.8669651700000003,3.33412897,2.96123152,2.6906380800000003,2.40851847,2.160363715,1.8783328769999992,1.591276199999999,1.301556773,1.056824124
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Transportation,EJ/yr,6.299913263,6.863289387000001,7.509848573999999,8.040224712,8.099377833,8.146511278,8.151226196,7.954125179,7.697840215,7.412959461
