Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Gas,EJ/yr,1.8089,2.1169,2.8029,3.9027,4.8707,5.8022,6.0061,5.992999999999999,5.9301,5.585,5.7269
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,1.8089,2.1169,2.8029,3.9027,4.8707,5.8022,6.0061,5.992999999999999,5.9301,5.585,5.7269
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Geothermal,EJ/yr,0.0598,0.0651,0.0782,0.0954,0.1151,0.1312,0.1446,0.1571,0.17,0.1831,0.1975
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Hydro,EJ/yr,2.2031,2.7962,4.3489,5.2457,6.417000000000002,8.4765,9.4671,9.4671,9.4671,9.4671,9.4671
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,2.2921,2.8904,4.4774,5.4608,6.7281,8.9014,10.1371,10.3938,10.7388,11.2693,12.019
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Nuclear,EJ/yr,0.9199,1.1486,2.5921000000000003,3.5819,3.666,3.1402,3.0485,2.9492000000000003,2.8086,2.6738,2.6819
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Oil,EJ/yr,0.8913000000000001,1.0491,1.415,1.7485,1.9906,2.1063,2.0407,2.0999,2.214,2.4576,2.1266
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Solar,EJ/yr,0.0006,0.0009,0.0037,0.0183,0.049,0.1063,0.2015,0.2976,0.424,0.6172000000000001,0.8926000000000001
AIM/CGE 2.0,SSP3-Baseline,Asian countries except Japan,Secondary Energy|Electricity|Wind,EJ/yr,0.0287,0.0282,0.0465,0.1015,0.147,0.1875,0.324,0.4721,0.6779000000000001,1.0021,1.462
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Capacity|Electricity,GW,252.4249,279.801,324.71,376.2785,406.1859,409.1447,417.4441,432.3391,454.0254,479.1483,507.3485
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Capacity|Electricity|Biomass,GW,5.8835,5.6484,6.2801,7.0995,8.6597,11.6592,15.7058,20.6741,25.2126,27.781,30.5059
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Capacity|Electricity|Coal,GW,46.9099,52.7607,60.7852,70.4488,80.7985,86.7954,99.4196,115.8335,135.0712,157.6738,182.5686
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Capacity|Electricity|Gas,GW,92.7265,103.0075,117.8296,134.8122,150.7493,157.1114,148.9156,139.8759,131.885,122.4774,111.778
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Capacity|Electricity|Hydro,GW,64.35,71.7917,75.1196,80.0804,85.0699,87.9931,96.7386,106.0426,116.9759,129.4765,142.6835
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Capacity|Electricity|Nuclear,GW,35.9965,34.8546,51.8036,69.7746,64.8555,47.1617,35.2839,26.4546,19.7803,14.7763,10.9227
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Capacity|Electricity|Oil,GW,6.4835,6.8467,7.4618,7.6821,7.7134,7.4962,7.2725,7.0024,6.8561,6.7078,6.5919
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Capacity|Electricity|Solar,GW,0.0,4.8032,5.237,5.6508,6.0583,6.3607,7.1951,7.9472,8.8113,9.8113,10.8726
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Capacity|Electricity|Wind,GW,0.0101,0.0235,0.1177,0.65,2.1963,4.4793,6.8194,8.4054,9.3189,10.3197,11.2898
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Emissions|CH4,Mt CH4/yr,37.339,38.2988,40.7645,42.3314,43.1853,43.6479,44.1611,44.8407,45.7371,46.5541,47.4552
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Emissions|CH4|Energy,Mt CH4/yr,24.6652,25.284,26.8593,27.806,28.2743,28.4935,28.7633,29.0648,29.4816,29.7758,30.146
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Emissions|CO2,Mt CO2/yr,2888.9639,3099.5434,3524.6271,3944.7957,4250.9723,4314.3132,4367.0559,4493.7561,4671.1549,4859.1731,5051.5387
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Emissions|CO2|AFOLU,Mt CO2/yr,213.5592,239.413,192.5012,155.2996,123.1089,99.4085,87.3741,90.4505,89.1648,89.7946,85.2618
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,2675.4047,2860.1304,3332.1259,3789.4961,4127.8634,4214.9047,4279.6818,4403.3056,4581.9902,4769.3785,4966.2769
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,1172.7991,1304.9943,1492.7722,1707.0157,1918.0329,2017.0552,2072.4792,2156.4119,2275.3929,2415.3041,2567.4836
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy,EJ/yr,26.9581,28.7853,34.5842,40.093,43.5662,44.0215,44.21100000000001,45.03100000000001,46.3846,47.6,48.7708
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Electricity,EJ/yr,3.5901,3.911,4.4372,5.101,5.6271,5.7789,5.7989,5.9077,6.1341,6.3945,6.6716
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Gases,EJ/yr,9.0615,9.4706,12.0197,14.4805,16.1005,16.5717,17.1767,18.0447,19.0981,19.9526,20.6725
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Heat,EJ/yr,6.8561,7.6779,9.0201,10.4546,11.5417,11.8768,11.8369,11.9078,12.1224,12.3796,12.6759
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Industry,EJ/yr,12.2232,12.4075,14.0518,16.2063,17.573900000000002,17.3661,17.1998,17.2092,17.5682,17.8955,18.1554
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Liquids,EJ/yr,5.5104,5.8595,7.0834,7.816,7.9451,7.5391,7.1409,6.8645,6.655,6.4145,6.2231
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Residential and Commercial,EJ/yr,9.9666,10.9884,13.4693,15.4744,16.8242,17.4183,17.8387,18.5358,19.3842,20.1939,21.0177
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Solids,EJ/yr,1.9401,1.8663,2.0238,2.241,2.3517,2.255,2.2577,2.3064,2.375,2.4587,2.5277000000000003
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Solids|Biomass,EJ/yr,0.2044,0.2109,0.2394,0.2721,0.2994,0.3099,0.3183,0.3389,0.3629,0.3883,0.4156
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Solids|Coal,EJ/yr,1.7357,1.6554,1.7844,1.9689,2.0523,1.9451,1.9393,1.9675,2.0121,2.0705,2.1121
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Transportation,EJ/yr,4.7684,5.3895,7.0631,8.4123,9.168,9.237,9.1725,9.286,9.4323,9.5107,9.5977
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Transportation|Electricity,EJ/yr,0.3721,0.3945,0.4052,0.4347,0.4927,0.5739000000000001,0.6778000000000001,0.8444,1.0466,1.2653,1.4892
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Transportation|Liquids,EJ/yr,2.8061,3.1819,4.1774,4.928900000000001,5.2961,5.245,5.0984,5.031000000000001,4.9713,4.877,4.8116
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Population,million,277.8526,278.9328,283.1015,284.818,285.8579,289.0339,292.6701,297.235,304.1374,312.2159,320.2856
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Primary Energy,EJ/yr,37.7354,40.4148,47.6208,54.6872,59.5806,60.6424,61.1094,62.393,64.4664,66.4662,68.5231
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Primary Energy|Biomass,EJ/yr,0.4941,0.4892,0.589,0.7136,0.8973000000000001,1.1458,1.4489,1.8228,2.1786,2.4371,2.7006
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Primary Energy|Coal,EJ/yr,7.7129,8.2977,9.4497,10.7573,11.9423,12.412,13.7003,15.431,17.4927,19.9156,22.5778
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Primary Energy|Fossil,EJ/yr,35.6216,38.1995,44.8795,51.3471,56.0846,57.2313,57.5199,58.4875,60.2001,61.8772,63.5716
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Primary Energy|Gas,EJ/yr,20.8428,22.4168,26.5717,30.9542,34.4207,35.6169,35.1248,34.7569,34.7079,34.297,33.5992
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Primary Energy|Nuclear,EJ/yr,0.8065,0.7809,1.1606,1.5632,1.453,1.0566,0.7905000000000001,0.5927,0.4432,0.331,0.2447
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Primary Energy|Oil,EJ/yr,7.0659,7.485,8.8581,9.6355,9.7217,9.2024,8.6948,8.2996,7.9995,7.6646,7.3946
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity,EJ/yr,4.8156,5.2628,6.1901,7.2391,7.7956,7.7834,7.8049,7.9648,8.2565,8.5957,8.9884
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Biomass,EJ/yr,0.1299,0.1247,0.1386,0.1567,0.1912,0.2574,0.3467,0.4564,0.5566,0.6133000000000001,0.6734
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,0.1299,0.1247,0.1386,0.1567,0.1912,0.2574,0.3467,0.4564,0.5566,0.6133000000000001,0.6734
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Coal,EJ/yr,0.8876000000000001,0.9983,1.1502,1.333,1.5289,1.6424,1.8812,2.1918,2.5558,2.9835000000000003,3.4546
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,0.8876000000000001,0.9983,1.1502,1.333,1.5289,1.6424,1.8812,2.1918,2.5558,2.9835000000000003,3.4546
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Gas,EJ/yr,2.047,2.274,2.6012,2.9761,3.3279,3.4684,3.2874,3.0879,2.9115,2.7038,2.4676
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,2.047,2.274,2.6012,2.9761,3.3279,3.4684,3.2874,3.0879,2.9115,2.7038,2.4676
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Geothermal,EJ/yr,0.0014,0.0014,0.0017,0.0018,0.0019,0.0019,0.0021,0.0023,0.0025,0.0027,0.003
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Hydro,EJ/yr,0.8118000000000001,0.9056,0.9476,1.0102,1.0731,1.11,1.2203,1.3377,1.4756,1.6333000000000002,1.7999
